metric,method,value,unit,data,variables,location,forest,details,year,title
mae,rf,34.34,,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation - m^3/hm^2,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
mse,rf,1070.92,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
rmse,rf,32.72,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
mae,rf,23.39,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,rf,0.71,,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,rf,0.75,,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
rmse,rf,8.09,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
mae,rf,6.03,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
r^2,rf,0.42,,"S2,lidar","bands,vi","Heilongjiang province, China",larch forest,larch,2023,China’s larch stock volume estimation using Sentinel-2 and LiDAR data
rmse,rf,79.1,m3/ha,"S2,lidar","bands,vi","Heilongjiang province, China",larch forest,larch - m^3/ha,2023,China’s larch stock volume estimation using Sentinel-2 and LiDAR data
md,rf,62.02,,"S2,lidar","bands,vi","Heilongjiang province, China",larch forest,larch,2023,China’s larch stock volume estimation using Sentinel-2 and LiDAR data
r^2,rf,0.49,,"landsat,alos","bands,climate,topo,vi","south region, Türkiye","Calabrian pine, forests",Calabrian pine,2023,"Machine learning prediction of above-ground biomass in pure Calabrian pine (Pinus brutia Ten.) stands of the Mediterranean region, Türkiye"
r,rf,0.7,,"landsat,alos","bands,climate,topo,vi","south region, Türkiye","Calabrian pine, forests",Calabrian pine,2023,"Machine learning prediction of above-ground biomass in pure Calabrian pine (Pinus brutia Ten.) stands of the Mediterranean region, Türkiye"
rmse,rf,30.125,t/ha,"landsat,alos","bands,climate,topo,vi","south region, Türkiye","Calabrian pine, forests",Calabrian pine - ton/ha,2023,"Machine learning prediction of above-ground biomass in pure Calabrian pine (Pinus brutia Ten.) stands of the Mediterranean region, Türkiye"
relative rmse,rf,32.56,,"landsat,alos","bands,climate,topo,vi","south region, Türkiye","Calabrian pine, forests",Calabrian pine,2023,"Machine learning prediction of above-ground biomass in pure Calabrian pine (Pinus brutia Ten.) stands of the Mediterranean region, Türkiye"
r^2,rf,0.445,,"S2,landsat","bands,vi,climate,topo","Yunnan Province, china",rainforests,,2023,Estimating the Aboveground Biomass of Various Forest Types with High Heterogeneity at the Provincial Scale Based on Multi-Source Data
rmse,rf,54.978,mg/ha,"S2,landsat","bands,vi,climate,topo","Yunnan Province, china",rainforests,mg/ha,2023,Estimating the Aboveground Biomass of Various Forest Types with High Heterogeneity at the Provincial Scale Based on Multi-Source Data
r^2,rf,0.503,,"S2,landsat","bands,vi,climate,topo","Yunnan Province, china",rainforests,,2023,Estimating the Aboveground Biomass of Various Forest Types with High Heterogeneity at the Provincial Scale Based on Multi-Source Data
rmse,rf,52.335,mg/ha,"S2,landsat","bands,vi,climate,topo","Yunnan Province, china",rainforests,mg/ha,2023,Estimating the Aboveground Biomass of Various Forest Types with High Heterogeneity at the Provincial Scale Based on Multi-Source Data
r^2,rf,0.61,,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",pine forests,yunnan pines,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
rmse,rf,17.91,mg/ha,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",pine forests,yunnan pines - mg/ha,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
r^2,rf,0.27,,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",coniferous forests,natural mixed coniferous forests,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
rmse,rf,28.55,mg/ha,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",coniferous forests,natural mixed coniferous forests - mg/ha,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
r^2,rf,0.61,,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",natural forests,natural forests,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
rmse,rf,20.78,mg/ha,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",natural forests,natural forests - mg/ha,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
r^2,rf,0.83,,landsat,"bands,texture,vi","Jodhpur Fig, India",urban forests,urban forest,2022,"Quantification of carbon sequestration by urban forest using Landsat 8 OLI and machine learning algorithms in Jodhpur, India"
rmse,rf,16.22,t/ha,landsat,"bands,texture,vi","Jodhpur Fig, India",urban forests,urban forest - t/ha,2022,"Quantification of carbon sequestration by urban forest using Landsat 8 OLI and machine learning algorithms in Jodhpur, India"
mae,rf,11.86,t/ha,landsat,"bands,texture,vi","Jodhpur Fig, India",urban forests,urban forest - t/ha,2022,"Quantification of carbon sequestration by urban forest using Landsat 8 OLI and machine learning algorithms in Jodhpur, India"
r^2,rf,0.74,,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
rmse,rf,23.36,mg/ha,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests - mg/ha,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
rmse,rf,23.72,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season - mg/ha,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
bias,rf,0.11,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r,rf,0.96,,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
rmse,rf,54.29,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season - mg/ha,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
bias,rf,0.3,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r,rf,0.69,,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r^2,rf,0.7698,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 14"
rmse,rf,27.1188,mg/ha,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests - mg/ha,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 15"
nrmse,rf,0.232,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 16"
me,rf,-1.8477,mg/ha,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests - mg/ha,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 17"
relative me,rf,-1.8103,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 18"
relative mare,rf,30.5218,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 19"
r^2,rf,0.652,,radarsat,backscatter,"Uttarakhand, India",Mixed Deciduous Forest,,2022,Estimation of aboveground biomass from PolSAR and PolInSAR using regression-based modelling techniques
rmse,rf,24.33,mg/ha,radarsat,backscatter,"Uttarakhand, India",Mixed Deciduous Forest,mg/ha,2022,Estimation of aboveground biomass from PolSAR and PolInSAR using regression-based modelling techniques
r^2,rf,0.52,,"S2,icesat","bands,canopy,vi","Hebei province, northern China",plantation forest,plantation,2022,Integrating spaceborne LiDAR and Sentinel-2 images to estimate forest aboveground biomass in Northern China
rmse,rf,56.36,mg/ha,"S2,icesat","bands,canopy,vi","Hebei province, northern China",plantation forest,plantation - mg/ha,2022,Integrating spaceborne LiDAR and Sentinel-2 images to estimate forest aboveground biomass in Northern China
r^2,rf,0.93,,spot,texture,"KwaZulu-Natal, South Africa",plantation forest,plantation,2019,Mapping forest aboveground biomass in the reforested Buffelsdraai landfill  site using texture combinations computed from SPOT-6 pan-sharpened  imagery
rmse,rf,32.59,mg/ha,spot,texture,"KwaZulu-Natal, South Africa",plantation forest,plantation - kg/m^2,2019,Mapping forest aboveground biomass in the reforested Buffelsdraai landfill  site using texture combinations computed from SPOT-6 pan-sharpened  imagery
relative rmse,rf,12.12,,spot,texture,"KwaZulu-Natal, South Africa",plantation forest,plantation,2019,Mapping forest aboveground biomass in the reforested Buffelsdraai landfill  site using texture combinations computed from SPOT-6 pan-sharpened  imagery
r^2,rf,0.6913,,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
rmse,rf,26.98,mg/ha,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest - mg/ha,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
relative rmse,rf,0.4418,,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
rmse,rf,55.94,mg/ha,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,mg/ha,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
relative rmse,rf,18.87,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
r^2,rf,0.54,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
aic,rf,82.4,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
r^2,rf,0.87,,"S1,landsat","backscatter,bands,vi,texture","Doon valley, Uttarakhand, India","Tropical, subtropical and temperate forest","Tropical, subtropical and temperate forest",2021,Estimation of forest aboveground biomass using combination of Landsat 8 and Sentinel‐1A data with random forest regression algorithm in Himalayan Foothills
rmse,rf,62.56,mg/ha,"S1,landsat","backscatter,bands,vi,texture","Doon valley, Uttarakhand, India","Tropical, subtropical and temperate forest","Tropical, subtropical and temperate forest - mg/ha",2021,Estimation of forest aboveground biomass using combination of Landsat 8 and Sentinel‐1A data with random forest regression algorithm in Himalayan Foothills
r^2,rf,0.7796,,S2,"bands,vi","KwaZulu-Natal province, South Africa",urban forests,urban forest,2021,The Utility of Sentinel-2 Spectral Data in Quantifying Above-Ground Carbon Stock in an Urban Reforested Landscape
rmse,rf,0.466,t/ha,S2,"bands,vi","KwaZulu-Natal province, South Africa",urban forests,urban forest - t/ha,2021,The Utility of Sentinel-2 Spectral Data in Quantifying Above-Ground Carbon Stock in an Urban Reforested Landscape
mae,rf,0.233,t/ha,S2,"bands,vi","KwaZulu-Natal province, South Africa",urban forests,urban forest - t/ha,2021,The Utility of Sentinel-2 Spectral Data in Quantifying Above-Ground Carbon Stock in an Urban Reforested Landscape
r^2,rf,0.68,,landsat,"bands,vi,soil,climate","Mongolia Autonomous Region, China",coniferous forests,larch and pine,2021,"Estimating the aboveground biomass of coniferous forest in Northeast China using spectral variables, land surface temperature and soil moisture"
rmse,rf,40.92,mg/ha,landsat,"bands,vi,soil,climate","Mongolia Autonomous Region, China",coniferous forests,larch and pine - mg/ha,2021,"Estimating the aboveground biomass of coniferous forest in Northeast China using spectral variables, land surface temperature and soil moisture"
relative rmse,rf,22.84,,landsat,"bands,vi,soil,climate","Mongolia Autonomous Region, China",coniferous forests,larch and pine,2021,"Estimating the aboveground biomass of coniferous forest in Northeast China using spectral variables, land surface temperature and soil moisture"
rmse,rf,43.98,mg/ha,"alos,modis,smrt","climate,vi,topo,canopy,polar",India,tropical forests,all forests - mg/ha,2021,Improving forest above ground biomass estimates over Indian forests using multi source data sets with machine learning algorithm
r^2,rf,0.89,,"alos,modis,smrt","climate,vi,topo,canopy,polar",India,tropical forests,all forests,2021,Improving forest above ground biomass estimates over Indian forests using multi source data sets with machine learning algorithm
relative bias,rf,31.2,,"alos,modis,smrt","climate,vi,topo,canopy,polar",India,tropical forests,all forests,2021,Improving forest above ground biomass estimates over Indian forests using multi source data sets with machine learning algorithm
r^2,rf,0.66,,landsat,"climate,topo,bands,vi","utah, USA",dryland forests,,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
rmse,rf,13.08,mg/ha,landsat,"climate,topo,bands,vi","utah, USA",dryland forests,mg/ha,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
mae,rf,9.71,mg/ha,landsat,"climate,topo,bands,vi","utah, USA",dryland forests,mg/ha,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
r^2,rf,0.49,,gedi,"climate,topo,bands,vi","utah, USA",dryland forests,,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
rmse,rf,16.01,mg/ha,gedi,"climate,topo,bands,vi","utah, USA",dryland forests,mg/ha,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
mae,rf,12.14,mg/ha,gedi,"climate,topo,bands,vi","utah, USA",dryland forests,mg/ha,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
r^2,rf,0.68,,"landsat,gedi","climate,topo,bands,vi","utah, USA",dryland forests,,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
rmse,rf,12.71,mg/ha,"landsat,gedi","climate,topo,bands,vi","utah, USA",dryland forests,mg/ha,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
mae,rf,9.4,mg/ha,"landsat,gedi","climate,topo,bands,vi","utah, USA",dryland forests,mg/ha,2021,Scaled biomass estimation in woodland ecosystems: Testing the individual and combined capacities of satellite multispectral and lidar data
r^2,rf,0.77,,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
rmse,rf,11.09,mg/ha,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest - mg/ha,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
relative rmse,rf,22.89,,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
bias,rf,-3.34,mg/ha,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest - mg/ha,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
relative bias,rf,-6.89,,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
r^2,rf,0.55,,"alos,landsat,smrt","polar,texture,topo,vi,bands","Northern Guangdong, China",evergreen forests,"evergreen forests, co-kriging",2020,Machine learning and geostatistical approaches for estimating aboveground biomass in Chinese subtropical forests
mae,rf,22.14,t/ha,"alos,landsat,smrt","polar,texture,topo,vi,bands","Northern Guangdong, China",evergreen forests,"evergreen forests, co-kriging - t/ha",2020,Machine learning and geostatistical approaches for estimating aboveground biomass in Chinese subtropical forests
rmse,rf,29.97,t/ha,"alos,landsat,smrt","polar,texture,topo,vi,bands","Northern Guangdong, China",evergreen forests,"evergreen forests, co-kriging - t/ha",2020,Machine learning and geostatistical approaches for estimating aboveground biomass in Chinese subtropical forests
relative rmse,rf,51.6,,"alos,landsat,smrt","polar,texture,topo,vi,bands","Northern Guangdong, China",evergreen forests,"evergreen forests, co-kriging",2020,Machine learning and geostatistical approaches for estimating aboveground biomass in Chinese subtropical forests
bias,rf,1.07,t/ha,"alos,landsat,smrt","polar,texture,topo,vi,bands","Northern Guangdong, China",evergreen forests,"evergreen forests, co-kriging - t/ha",2020,Machine learning and geostatistical approaches for estimating aboveground biomass in Chinese subtropical forests
relative bias,rf,-1.85,,"alos,landsat,smrt","polar,texture,topo,vi,bands","Northern Guangdong, China",evergreen forests,"evergreen forests, co-kriging",2020,Machine learning and geostatistical approaches for estimating aboveground biomass in Chinese subtropical forests
r^2,rf,0.33,,S1,"backscatter,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative rmse,rf,58.26,,S1,"backscatter,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative mae,rf,47.15,,S1,"backscatter,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative bias,rf,0.95,,S1,"backscatter,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
r^2,rf,0.76,,S2,"bands,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative rmse,rf,34.42,,S2,"bands,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative mae,rf,26.68,,S2,"bands,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative bias,rf,-0.99,,S2,"bands,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
r^2,rf,0.29,mg/ha,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
rmse,rf,25.77,,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests - mg/ha,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
relative rmse,rf,48.99,,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
r^2,rf,0.468,,"S2,alos,smrt","backscatter,bands,topo,vi","Southern coast, Vietnam",mangrove forests,mangroves,2020,"Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam"
rmse,rf,48.44,mg/ha,"S2,alos,smrt","backscatter,bands,topo,vi","Southern coast, Vietnam",mangrove forests,mangroves - mg/ha,2020,"Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam"
rmse,rf,110.71,mg/ha,"landsat,lidar","bands,canopy,climate,topo,vi","Victoria, Australia",Dry sclerophyll forests,mixed forests - mg/ha,2020,Monitoring aboveground forest biomass dynamics over three decades using Landsat time-series and single-date inventory data
relative rmse,rf,25.63,,"landsat,lidar","bands,canopy,climate,topo,vi","Victoria, Australia",Dry sclerophyll forests,mixed forest,2020,Monitoring aboveground forest biomass dynamics over three decades using Landsat time-series and single-date inventory data
r^2,rf,0.52,,"landsat,lidar","bands,canopy,climate,topo,vi","Victoria, Australia",Dry sclerophyll forests,mixed forest,2020,Monitoring aboveground forest biomass dynamics over three decades using Landsat time-series and single-date inventory data
r^2,rf,0.74,,spot,"texture,topo,vi,bands","Thanh Hoa, Vietnam",evergreen broadleaf forests,evergreen broadleaf,2020,"Estimating the Aboveground Biomass of an Evergreen Broadleaf Forest in Xuan Lien Nature Reserve, Thanh Hoa, Vietnam, Using SPOT-6 Data and the Random Forest Algorithm"
rmse,rf,61.24,mg/ha,spot,"texture,topo,vi,bands","Thanh Hoa, Vietnam",evergreen broadleaf forests,evergreen broadleaf - mg/ha,2020,"Estimating the Aboveground Biomass of an Evergreen Broadleaf Forest in Xuan Lien Nature Reserve, Thanh Hoa, Vietnam, Using SPOT-6 Data and the Random Forest Algorithm"
rmse,rf,24.91,mg/ha,"icesat,landsat","canopy,vi","South east Texas, USA",evergreen forests,evergreen - mg/ha,2020,Using ICESat-2 to Estimate and Map Forest Aboveground Biomass: A First Example
r^2,rf,0.6,,"icesat,landsat","canopy,vi","South east Texas, USA",evergreen forests,evergreen,2020,Using ICESat-2 to Estimate and Map Forest Aboveground Biomass: A First Example
r^2,rf,0.4,,landsat,"bands,climate,texture,topo,vi","Sierra Madre, Mexico",coniferous trees,coniferous trees,2020,Modeling of Aboveground Biomass with Landsat 8 OLI and Machine Learning in Temperate Forests
rmse,rf,13.05,mg/ha,landsat,"bands,climate,texture,topo,vi","Sierra Madre, Mexico",coniferous trees,coniferous trees - mg/ha,2020,Modeling of Aboveground Biomass with Landsat 8 OLI and Machine Learning in Temperate Forests
r^2,rf,0.68,,"S1,landsat","backscatter,texture,bands,vi","Hunan Province, China",subtropical evergreen forests,subtropical evergreen,2020,forest aboveground biomass  estimation using Landsat 8 and  Sentinel-1A data with machine  learning algorithms
rmse,rf,20.92,mg/ha,"S1,landsat","backscatter,texture,bands,vi","Hunan Province, China",subtropical evergreen forests,subtropical evergreen - mg/ha,2020,forest aboveground biomass  estimation using Landsat 8 and  Sentinel-1A data with machine  learning algorithms
relative rmse,rf,42.31,,"S1,landsat","backscatter,texture,bands,vi","Hunan Province, China",subtropical evergreen forests,subtropical evergreen,2020,forest aboveground biomass  estimation using Landsat 8 and  Sentinel-1A data with machine  learning algorithms
rmse,rf,60.6,mg/ha,"S2,landsat","bands,vi,bpv","Western, Africa",tree and shrub savannas,tree and shrub savannas - mg/ha,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
r^2,rf,0.83,,"S2,landsat","bands,vi,bpv","Western, Africa",tree and shrub savannas,tree and shrub savannas,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
mae,rf,19.2,,"S2,landsat","bands,vi,bpv","Western, Africa",tree and shrub savannas,tree and shrub savannas,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
rmse,rf,78.6,mg/ha,S1,polar,"Western, Africa",tree and shrub savannas,tree and shrub savannas - mg/ha,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
r^2,rf,0.66,,S1,polar,"Western, Africa",tree and shrub savannas,tree and shrub savannas,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
mae,rf,25.6,,S1,polar,"Western, Africa",tree and shrub savannas,tree and shrub savannas,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
rmse,rf,54.5,mg/ha,"S1,S2,landsat","bands,vi,bpv,polar","Western, Africa",tree and shrub savannas,tree and shrub savannas - mg/ha,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
r^2,rf,0.9,,"S1,S2,landsat","bands,vi,bpv,polar","Western, Africa",tree and shrub savannas,tree and shrub savannas,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
mae,rf,19.8,,"S1,S2,landsat","bands,vi,bpv,polar","Western, Africa",tree and shrub savannas,tree and shrub savannas,2020,Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets - A case study
rmse,rf,0.193,kg/m2,worldview,"bands,vi,texture","Zhejiang province, China",bamboo and broadlead forest ,bamboo and broadlead forest - kg/m2,2020,Application of Convolutional Neural Network on Lei Bamboo Above-Ground-Biomass (AGB) Estimation Using Worldview-2.
relative rmse,rf,0.162,,worldview,"bands,vi,texture","Zhejiang province, China",bamboo and broadlead forest ,bamboo and broadlead forest ,2020,Application of Convolutional Neural Network on Lei Bamboo Above-Ground-Biomass (AGB) Estimation Using Worldview-2.
r^2,rf,0.974,,worldview,"bands,vi,texture","Zhejiang province, China",bamboo and broadlead forest ,bamboo and broadlead forest ,2020,Application of Convolutional Neural Network on Lei Bamboo Above-Ground-Biomass (AGB) Estimation Using Worldview-2.
r^2,rf,0.774,,worldview,"bands,vi,texture","Guangdong Province, China",evergreen broadleaf,evergreen broadleaf,2020,"Estimating aboveground biomass of urban trees by high resolution remote sensing image: a case study in Hengqin, Zhuhai, China"
